标准答案	谜题（emoji）	LLM输出成语	LLM是否正确	成语中有几个谐音
惨淡经营	😢😑🏁🏕️	悲欢离合	0	1
惨淡经营	😢😑🐳🏕️	悲喜交加	0	1
惨淡经营	😢😑🤫⛺	忍辱负重	0	1
惨淡经营	♿😑💠🏕️	无能为力	0	2
惨淡经营	😢😑❕👶	哭笑不得	0	2
惨淡经营	😢😑‼️🎞️	悲喜交加	0	2
惨淡经营	😢⏏️⁉️🌸	泣不成声	0	3
惨淡经营	♿😑👀🦸	坐视不救	0	3
惨淡经营	♿😑👁️🎬	熟视无睹	0	3
惨淡经营	♿⏏️🕶️🦜	身残志坚	0	4
惨淡经营	♿⏏️😮🌸	推陈出新	0	4
惨淡经营	♿⏏️🫡🎬	推陈出新	0	4
四脚朝天	4️⃣👣🪺☁️	四脚朝天	1	1
四脚朝天	4️⃣🦶💷☁️	四脚朝天	1	1
四脚朝天	4️⃣🦶🦸👼	四大皆空	0	1
四脚朝天	4️⃣🚌🪹☁️	肆无忌惮	0	2
四脚朝天	4️⃣🦶🪺🍭	四平八稳	0	2
四脚朝天	⛩️👣🪹👼	门可罗雀	0	2
四脚朝天	4️⃣♈🦸🍉	四大皆空	0	3
四脚朝天	⚰️👣💴😋	见钱眼开	0	3
四脚朝天	4️⃣⛪🪹🍩	四面楚歌	0	3
四脚朝天	⚰️🚗💴😋	死要面子	0	4
四脚朝天	⚰️📢💴🍩	死要面子	0	4
四脚朝天	⚰️⛪💲🍬	死要面子	0	4
垂帘听政	🌬️💑🎧🎟️	风花雪月	0	3
垂帘听政	🌬️💝👂➕	闻风丧胆	0	3
垂帘听政	🌬️📞🎧☑️	风调雨顺	0	3
垂帘听政	🌬️❤️‍🔥⏸️🎟️	风起云涌	0	4
垂帘听政	👨‍🍳☎️📴⚗️	不可救药	0	4
垂帘听政	🌬️⛓️⏸️🎫	风驰电掣	0	4
害群之马	☣️👗🌳🐎	危言耸听	0	2
害群之马	☣️👗❌🎪	危言耸听	0	2
害群之马	☣️👗🤾🐴	危言耸听	0	2
害群之马	🏝️👗🤓🎠	岛服书旋	0	3
害群之马	🌊👗❎🐴	海市蜃楼	0	3
害群之马	🏝️👗🗒️🐎	岛衣纸马	0	3
害群之马	🧒👗🤓👨‍💻	衣冠禽兽	0	4
害群之马	👦👗🧵👨‍💻	男扮女装	0	4
害群之马	🏝️👗⏸️👨‍💻	岛服暂停	0	4
不甘示弱	🙅🍻🎓🪫	不可救药	0	2
不甘示弱	🙅🎋🌧️👩‍🦽	不折不扣	0	2
不甘示弱	🙅🎋🍽️👩‍🦽	不可救药	0	2
不甘示弱	👣🎋♟️👩‍🦽	步步为营	0	3
不甘示弱	👣🎋🏹👩‍🦽	步步高升	0	3
不甘示弱	👣🎋🍅👩‍🦽	脚踏实地	0	3
言归正传	🗣️👻✅➰	鬼话连篇	0	2
言归正传	🗣️👺➕🔃	谈虎色变	0	2
言归正传	🗣️👹☑️🧱	口是心非	0	2
言归正传	🗣️👻⚗️🌀	谈虎色变	0	3
言归正传	🌋🌹➕🔄	火山爆发	0	3
言归正传	🗣️🐢🎟️🌀	道听途说	0	3
言归正传	🌋🧎🪪🔁	火山爆发	0	4
言归正传	🌋🧎🪪🧱	火山爆发	0	4
言归正传	🌋👿⚗️🎡	火上浇油	0	4
才貌双全	✂️🎓♓➰	剪烛西窗	0	3
才貌双全	✂️⚓♓➰	千钧一发	0	3
才貌双全	✂️⚓↔️🐶	见风使舵	0	3
才貌双全	🎨🎓🆒⭕	画龙点睛	0	4
才貌双全	✂️🐱🆒👊	见机行事	0	4
才貌双全	✂️😸🆒✊	见义勇为	0	4
人微言轻	👤💂‍♀️🗣️👏	人微言轻	1	2
人微言轻	👤❗🗣️💗	人微言轻	1	2
人微言轻	👤💂‍♀️🗣️🎊	人声鼎沸	0	2
人微言轻	👤‼️🤮🔅	人微言轻	1	3
人微言轻	👤‼️🔥🍏	人杰地灵	0	3
人微言轻	👩‍🍳💂🗣️🆑	厨子说兵	0	3
人微言轻	👩‍🍳🆘🌫️♥️	弄巧成拙	0	4
人微言轻	👩‍🍳🆘👀🆑	厨余之患	0	4
人微言轻	👩‍🍳⚠️🪔🎊	点石成金	0	4
井然有序	🆘🧬👯‍♀️🤫	救死扶伤	0	4
井然有序	⁉️🧬🧈🤫	不可思议	0	4
井然有序	‼️🔥🩶🤫	大惊小怪	0	4
浩然正气	✅🧬☑️🌀	千真万确	0	2
浩然正气	✅🔥➕💨	蒸蒸日上	0	2
浩然正气	✅🧬✅💢	对牛弹琴	0	2
浩然正气	☑️🔥➕🙏	心满意足	0	3
浩然正气	🆗🔥⚗️🌫️	炉火纯青	0	3
浩然正气	✅🧬⚗️😤	实事求是	0	3
浩然正气	🆗🧬🆔🚵	合情合理	0	4
浩然正气	☑️🔥⚗️🚴	实事求是	0	4
浩然正气	✅🧬⚗️👰	成双成对	0	4
死要面子	⚰️🧌🍜♊	盖棺定论	0	1
死要面子	💀💫🍜♊	魂飞魄散	0	1
死要面子	⚰️🔅🍞♊	棺材板板	0	1
死要面子	⚰️👺🧽♊	鬼斧神工	0	2
死要面子	⚰️👹🎭🪻	装神弄鬼	0	2
死要面子	4️⃣🔑🍞♊	四分五裂	0	2
死要面子	⚰️👾🧽✒️	死灰复燃	0	3
死要面子	🏯🧪😴♊	闭关自守	0	3
死要面子	4️⃣💫🧽♊	四面楚歌	0	3
死要面子	⛩️👺🛌✒️	鬼斧神工	0	4
死要面子	💭👹🧽🟣	想入非非	0	4
死要面子	💭👺😴✒️	梦笔生花	0	4
望其项背	🔭7️⃣📹🧁	望眼欲穿	0	3
望其项背	🔭7️⃣📼🧁	望穿秋水	0	3
望其项背	🔭7️⃣📼😟	望眼欲穿	0	3
望其项背	↔️7️⃣🧳😟	举棋不定	0	4
望其项背	↔️⁉️🧰🍻	举一反三	0	4
望其项背	↔️7️⃣🚃🫙	七上八下	0	4
稳操胜算	❔🌿✌️🧮	不三不四	0	2
稳操胜算	👄🍀✌️🧮	口是心非	0	2
稳操胜算	💋🍀✌️🧮	口是心非	0	2
稳操胜算	❔🍀🐃🧮	难能可贵	0	3
稳操胜算	🤷‍♀🌿✌️🧄	无可奈何	0	3
稳操胜算	♨️🍀✌️🍋	温故知新	0	3
稳操胜算	❓☘️🎅🧄	疑神疑鬼	0	4
稳操胜算	❔🌿🪇🍋	莫名其妙	0	4
稳操胜算	🌡️☘️🐂🍋	温故知新	0	4
云泥之别	☁️👩🏻‍🦲⏹️📎	云泥之别	1	2
云泥之别	☁️🫵☝️📎	云泥之别	1	2
云泥之别	☁️👩🏻‍🦲⏸️📎	云泥之别	1	2
云泥之别	😵‍💫👩🏻‍🦲⏹️📎	头昏脑涨	0	3
云泥之别	🥴🫵🔖📎	晕头转向	0	3
云泥之别	🥴👩🏻‍🦲🫵📎	醉翁之意	0	3
力不从心	🏋️🙅👂💕	举一反三	0	1
力不从心	👊🙅‍♀️🧅🤍	不可理喻	0	1
力不从心	✊🙅‍♀️🧅💓	不可救药	0	1
力不从心	🏋️👣🧅🫶	举足轻重	0	2
力不从心	🏋️🙅👂✉️	举不胜举	0	2
力不从心	✊🚶‍♂️👂🫀	力不从心	1	2
力不从心	🏋️👣🧅📨	举足轻重	0	3
力不从心	✊🚶👂📫	举手投足	0	3
力不从心	👊🚶👂📭	拳打脚踢	0	3
力不从心	🍚🚶‍♂️👂📩	道听途说	0	4
力不从心	💮👣🧅📮	花好月圆	0	4
力不从心	🍐👣🧅📮	离经叛道	0	4
不分轻重	🙅➗🎆🛎️	不可救药	0	2
不分轻重	🙅➗🎉🪦	不欢而散	0	2
不分轻重	🙅➗💓🕣	不出所料	0	2
不分轻重	👣➗💗🎯	脚踏实地	0	3
不分轻重	🙅🆔👏🕝	不可一世	0	3
不分轻重	🙅🆔🔅🕣	不可一世	0	3
不分轻重	👣💩👏🀄	脚踏实地	0	4
不分轻重	👣💢💕🕤	脚踏实地	0	4
不分轻重	👣💢🌞🀄	足不出户	0	4
勤学好问	🎹🎓✅🤷‍♀	琴棋书画	0	1
勤学好问	🎻🧑‍🎓☑️⁉️	对牛弹琴	0	1
勤学好问	🎹🏫🆗❔	琴棋书画	0	1
勤学好问	🎹🎓✅🫟	琴棋书画	0	2
勤学好问	🎻🧑‍🎓📯🤷	对牛弹琴	0	2
勤学好问	🎹❄️👫⁉️	琴瑟和鸣	0	2
勤学好问	🎹☃️📯❔	对牛弹琴	0	3
勤学好问	🎹❄️🦪⁉️	弹指之间	0	3
勤学好问	🎹🌨️🐁❓	琴棋书画	0	3
勤学好问	🎻👞🐁💋	胡言乱语	0	4
勤学好问	🐔👞🐁♨️	鸡飞狗跳	0	4
勤学好问	🎻🥾🦪😗	弦外之音	0	4
单刀直入	📋✂️👩‍⚕️🍼	割席断交	0	2
单刀直入	📋✂️🤾👩‍🍼	断章取义	0	2
单刀直入	📋✂️❌👩‍🍼	断章取义	0	2
单刀直入	📋⏪📍🪱	纸上谈兵	0	3
单刀直入	⏏️✂️🤾🪱	推陈出新	0	3
单刀直入	📋⏮️🧃🥛	纸上谈兵	0	3
单刀直入	⏏️🍚⛔🥛	投笔从戎	0	4
单刀直入	⏏️🏝️🙅‍♂️👩‍🍼	推心置腹	0	4
单刀直入	⏏️⏪🤓🪱	推陈出新	0	4
洗心革面	🛀❤️🕊️🍝	洗心革面	1	1
洗心革面	🛀💕🎤🥖	沐猴而冠	0	1
