标准答案	谜题（emoji）	LLM输出成语	LLM是否正确	成语中有几个谐音
惨淡经营	😢😑🧘‍♂️🏕️	悲天悯人	0	1
惨淡经营	😿😑🕶️⛺	愁眉苦脸	0	1
惨淡经营	😢😑🐋🏕️	悲欢离合	0	1
惨淡经营	😢😑⚠️⚫	泣不成声	0	2
惨淡经营	😢😑⚠️🏆	悲喜交加	0	2
惨淡经营	♿😑🏁🏕️	半途而废	0	2
四脚朝天	4️⃣🦿🪹☁️	四脚朝天	1	1
四脚朝天	4️⃣👣💵☁️	四分五裂	0	1
四脚朝天	4️⃣👣💴☁️	四分五裂	0	1
四脚朝天	4️⃣👣🪹🧁	四平八稳	0	2
四脚朝天	4️⃣👣🪹🧇	四面楚歌	0	2
四脚朝天	⛩️🦶💲☁️	门可罗雀	0	2
害群之马	☣️👗🤓🐎	危言耸听	0	2
害群之马	☣️👗⛔🎠	危言耸听	0	2
害群之马	☣️👗🪴🐴	危言耸听	0	2
不甘示弱	🙅🍻🆗🪫	不可救药	0	2
不甘示弱	🙅🎋👌👩‍🦽	不约而同	0	2
不甘示弱	🙅🍻🚙🪫	不可救药	0	2
言归正传	🗣️👹✅🧱	道貌岸然	0	2
言归正传	🗣️👾☑️↪️	言过其实	0	2
言归正传	🗣️🌹✅🔃	道听途说	0	2
人微言轻	👤💂🗣️☀️	人言可畏	0	2
人微言轻	👤⚠️🗣️🔆	人言可畏	0	2
人微言轻	👤💂‍♂️🗣️💓	人微言轻	1	2
浩然正气	🆗🔥➕🤬	恰到好处	0	2
浩然正气	✅🧬➕🤬	对牛弹琴	0	2
浩然正气	✅🧬➕🌀	实事求是	0	2
死要面子	💀💫🍜♊	生死攸关	0	1
死要面子	💀🧌🍝♊	生死攸关	0	1
死要面子	🧟‍♂️👺🍞♊	鬼使神差	0	1
死要面子	⚰️👺🎭🪻	装神弄鬼	0	2
死要面子	💀✴️🛏♊	死而复生	0	2
死要面子	⛩️🧪🎭♊	门当户对	0	2
稳操胜算	📋☘️✌️🧮	举一反三	0	2
稳操胜算	📂☘️✌️🧮	分毫不差	0	2
稳操胜算	😘🌿✌️🧮	情不自禁	0	2
云泥之别	☁️🫵🙅📎	云泥之别	1	2
云泥之别	☁️👩🏻‍🦲🌳📎	云泥之别	1	2
云泥之别	☁️👩🏻‍🦲🧵📎	云鬓花颜	0	2
力不从心	🏋️🙅👂🩵	举重若轻	0	1
力不从心	✊🙅‍♂️👂🤍	不可救药	0	1
力不从心	🏋️🙅‍♂️🧅🩵	举重若轻	0	1
力不从心	✊🙅🧅📪	不可救药	0	2
