标准答案	谜题（emoji）	LLM输出成语	LLM是否正确	成语中有几个谐音
不甘示弱	🙅🍻🕰️👩‍🦽	拒酒时婆	0	2
不甘示弱	🙅🍻🔟👩‍🦽	拒酒十娘	0	2
不甘示弱	🙅🎣🚘👩‍🦽	拒钓车媼	0	2
言归正传	🗣️👺✅🎡	人鬼莫测	0	2
言归正传	🗣️🐢➕🎠	口舌添乱	0	2
言归正传	🗣️👾✅🔄	人言可畏	0	2
人微言轻	👤⚠️🗣️🔆	人言可畏	0	2
人微言轻	👤‼️🗣️🍾	人声鼎沸	0	2
人微言轻	👤❗🗣️💘	人言可畏	0	2
浩然正气	☑️🧬☑️😠	对牛弹琴	0	2
浩然正气	☑️🔥✅🌪️	火中取栗	0	2
浩然正气	✅🧬✅😤	一言既出	0	2
力不从心	🦾🙅‍♂️🧅🩵	铁公鸡婆	0	1
力不从心	💪🙅‍♂️🧅🫰	力排众议	0	1
力不从心	🦾🙅🧅❤️	拒蒜爱心	0	1
力不从心	🍚🙅‍♀️🧅💗	食古不化	0	2
力不从心	⛪🙅‍♂️🧅❤️	教堂拒葱	0	2
力不从心	🦾🚶🧅🧡	铁拐李桃	0	2
不分轻重	🙅➗🍾🕝	拒分庆祝	0	2
不分轻重	🙅➗♥️⏰	拒之门外	0	2
不分轻重	🙅➗👏🕣	拒之门外	0	2
勤学好问	🐔🏫👍🤷‍♀	鸡飞狗跳	0	1
勤学好问	🎹🧑‍🎓☑️❔	弹冠相庆	0	1
勤学好问	🎹🧑‍🎓✅🤷	弹冠相庆	0	1
勤学好问	🎹🌨️☑️🤷‍♂️	弹雪无痕	0	2
勤学好问	🎻🎓📯🤷	琴瑟和鸣	0	2
勤学好问	🎹🎓✅💏	琴瑟和鸣	0	2
单刀直入	📋✂️🧭🪱	一剪梅虫	0	2
单刀直入	📋🔪🔖🪱	削足适履	0	2
单刀直入	📋✂️📃🪱	一剪梅虫	0	2
洗心革面	🛀💓🧑‍🎤🍝	洗心革面	1	1
洗心革面	🛀💕👩‍🎤🍝	洗心革面	1	1
洗心革面	🛀♥️🧑‍🎤🎭	洗心革面	1	1
洗心革面	🛀❤️🧑‍🎤🧽	洗心革面	1	2
洗心革面	🛀🌶️◽🍝	洗心革面	1	2
洗心革面	🛀🆕◽🍞	洗心革面	1	2
绿水青山	🚧🚰🥬🏔️	筑炉种菜	0	1
绿水青山	📼🚰🍏🗻	胶柱鼓瑟	0	1
绿水青山	📋🌧️🍏🌋	贴切苹果	0	1
绿水青山	📋🚰🥬🪩	一箭双雕	0	2
绿水青山	📼😴🍏🏔️	胶柱鼓瑟	0	2
绿水青山	📋♒🌞🗻	纸扇山露	0	2
一往无前	☝️↔️5️⃣⏩	指手画脚	0	1
一往无前	☝️↔️🧙⏩	指手画脚	0	1
一往无前	1️⃣↔️❎⏩	一箭双雕	0	1
一往无前	1️⃣↔️❌🪙	一箭双雕	0	2
一往无前	1️⃣🔱💃⏩	一石二鸟	0	2
一往无前	❓↔️❎⏩	七上八下	0	2
酸甜苦辣	🍋🍨😫🫑	柠檬冰淇	0	0
酸甜苦辣	🍋🧁😫🫑	柠檬蛋糕	0	0
酸甜苦辣	🍋🍭😖🌶️	柠檬棒糖	0	0
酸甜苦辣	🍋🧁🆒🌶️	酸甜苦辣	1	1
酸甜苦辣	🍋🍬😫🎺	柠檬糖吹	0	1
酸甜苦辣	🍋🧁🗄️🌶️	柠檬奶油	0	1
酸甜苦辣	🍋😋🆒🎺	柠檬尝鲜	0	2
酸甜苦辣	🧄😋😫🎺	蒜辣愁吹	0	2
酸甜苦辣	🧄🍭👖🌶️	蒜辣糖衣	0	2
不足为奇	🙅🦶‼️🐎	拒足千里	0	2
不足为奇	🙅🦶👅🐧	拒足舌鴨	0	2
不足为奇	🙅🦶⚠️🏳️	拒足警告	0	2
居高临下	🎥🆙🌳👇	放映更新	0	2
居高临下	🎦⤴️🚿⤵️	水到渠成	0	2
居高临下	🎦🆙🌳⬇️	放映更新	0	2
毫不讳言	☑️🙅‍♂️🔃🗣️	言而无信	0	2
毫不讳言	✅🙅◀️🗣️	画龙点睛	0	2
毫不讳言	☑️🙅‍♂️🖍️🗣️	画蛇添足	0	2
扑朔迷离	♦️🎓😵🕴️	点石成金	0	2
扑朔迷离	♦️🎓😵‍💫🫡	出人头地	0	2
扑朔迷离	♦️🎓😵‍💫🦊	狐疑满腹	0	2
毫不在意	🐁🙅‍♂️🤠💭	鼠目寸光	0	2
毫不在意	👌🙅‍♀️🤠💭	十拿九稳	0	2
毫不在意	🆗🙅🤠🍝	好意难却	0	2
忆苦思甜	1️⃣😖🧠🧁	一筹莫展	0	1
忆苦思甜	1️⃣😖🤔🧁	一筹莫展	0	1
忆苦思甜	1️⃣😫🧠🍭	一愁莫展	0	1
忆苦思甜	🐜😖💭👼	蚁苦思甜	0	2
忆苦思甜	1️⃣😫🕍😋	一愁莫展	0	2
忆苦思甜	☝️😖💀🍩	指手画脚	0	2
好好先生	☑️☑️‼️🤶	百发百中	0	2
好好先生	☑️☑️❗🎅	百发百中	0	2
好好先生	☑️☑️‼️⛪	百发百中	0	2
虚度光阴	🌅🌡️🕯️⚫	日积月累	0	1
虚度光阴	🤫📏🔦⚫	默守成规	0	1
虚度光阴	🌅🌡️🌟⚫	日温星黑	0	1
虚度光阴	🌅🌡️💫🎤	日温星歌	0	2
虚度光阴	🌅🌡️💡🏧	日温思变	0	2
虚度光阴	🌅🌡️🔦☕	日温灯茶	0	2
怨声载道	🤬🪇🤠☯️	怒发冲冠	0	1
怨声载道	😤🛎️🤠☯️	怒发冲冠	0	1
怨声载道	🤬🔔🤠🛣️	怒发冲冠	0	1
怨声载道	🥮🔔🤠☯️	月饼铃声	0	2
怨声载道	😤📣🤠🪒	怒发冲冠	0	2
怨声载道	🏥🎤🤠☯️	杯弓蛇影	0	2
两虎相斗	2️⃣🐯📷🤼‍♂️	二虎相争	0	0
两虎相斗	2️⃣🐯📷🤼‍♀️	二虎相争	0	0
两虎相斗	2️⃣🐅📷🤼‍♂️	二虎相争	0	0
两虎相斗	🌉🐅📷🤼‍♂️	桥虎摄搏	0	1
两虎相斗	2️⃣🐅🗃️🥊	二虎相斗	0	1
两虎相斗	🌉🐅📷🤼‍♀️	桥虎拍照	0	1
两虎相斗	🌉🐅🐘🥊	桥虎象拳	0	2
两虎相斗	2️⃣🐯🧠🥔	二虎相争	0	2
两虎相斗	2️⃣👩‍⚕️✈️🤼‍♀️	二女争夫	0	2
是非分明	☑️❌➗🌞	打钩抹零	0	0
是非分明	✅❎➗🕯️	一分为二	0	0
是非分明	☑️❎➗🔆	一箭双雕	0	0
是非分明	🍴❎➗🔦	刀叉错觉	0	1
是非分明	✅🗑️➗☀️	正本清源	0	1
是非分明	🎓❎➗🌞	学无止境	0	1
是非分明	🎬❎➗🥃	一箭双雕	0	2
是非分明	💂❌➗🆔	武断乡曲	0	2
是非分明	⏰❎💢☀️	刻舟求剑	0	2
普天同庆	🍇👼🟰👏	葡萄熟了	0	1
普天同庆	💁‍♂️👼🟰🎉	推恩令庆	0	1
普天同庆	💁‍♂️👼🟰👏	指手画脚	0	1
普天同庆	🍇👼👦👏	葡萄架下	0	2
普天同庆	♦️👅🟰🎊	口舌之快	0	2
普天同庆	🍇👼🟰💕	葡萄熟了	0	2
吹毛求疵	💨🪶🙏🦔	风毛麟角	0	1
吹毛求疵	🌬️🧶🙏🏺	风毛麟角	0	1
吹毛求疵	🌬️🪶🙏🏺	风毛祈祷	0	1
吹毛求疵	💨🎩🙏🦔	风度翩翩	0	2
吹毛求疵	🌬️🧶🍂🗡️	风毛麟角	0	2
吹毛求疵	💨🐱🙏🏺	风猫拜瓶	0	2
春风化雨	👄💨🌷🌧️	口若悬河	0	2
春风化雨	👄🪁🖍️🌧️	口是心非	0	2
春风化雨	👄🪁🌼🌧️	口是心非	0	2
通情达理	❤️‍🩹💓🤼‍♀️💇	救死扶伤	0	2
