标准答案	谜题（emoji）	LLM输出成语	LLM是否正确	成语中有几个谐音
惨淡经营	😢😑🐳🏕️	悲喜交加	0	1
惨淡经营	😢😑😱🏕️	哭笑不得	0	1
惨淡经营	😿😑🦒⛺	猫哭老鼠	0	1
惨淡经营	😢😑🆘📽️	悲天悯人	0	2
惨淡经营	😢⏏️🙀🏕️	悲喜交加	0	2
惨淡经营	🍱😑‼️⛺	不言而喻	0	2
四脚朝天	4️⃣🦶💲☁️	四脚朝天	1	1
四脚朝天	4️⃣🦶💷☁️	四脚朝天	1	1
四脚朝天	4️⃣🦶💵☁️	四脚朝天	1	1
四脚朝天	4️⃣🌶️🦸☁️	四辣英雄	0	2
四脚朝天	🏯🦶🪺☁️	亭台楼阁	0	2
四脚朝天	4️⃣🦶💵😋	四脚朝天	1	2
害群之马	☣️👗🤾🐴	危如累卵	0	2
害群之马	☣️👗🗒️🏇	危机四伏	0	2
害群之马	☣️👗🧻🎠	危言耸听	0	2
不甘示弱	🙅🍻👨‍🏫🪫	不欢而散	0	2
不甘示弱	🙅🎋🏠🪫	不可救药	0	2
不甘示弱	🙅🎋⏰👩‍🦽	不折不扣	0	2
言归正传	🗣️👺✅🎡	口是心非	0	2
言归正传	🗣️👺✅🔃	谈虎色变	0	2
言归正传	🗣️🐢✅🔄	言过其实	0	2
人微言轻	👤🆘🗣️🍏	人云亦云	0	2
人微言轻	👤‼️🗣️🥬	人声鼎沸	0	2
人微言轻	👤‼️🗣️🍏	人云亦云	0	2
浩然正气	🆗🔥➕🤬	火上加油	0	2
浩然正气	☑️🧬☑️😡	对牛弹琴	0	2
浩然正气	☑️🧬☑️💨	对症下药	0	2
死要面子	🧟‍♂️💫🎭♊	鬼斧神工	0	1
死要面子	🧟‍♂️👺🎭♊	鬼使神差	0	1
死要面子	⚰️🔅🎭♊	盖棺定论	0	1
死要面子	💀✴️🥱♊	死而复生	0	2
死要面子	⚰️🧌🛏♊	死而复生	0	2
死要面子	4️⃣✴️🍜♊	四面楚歌	0	2
稳操胜算	🦟☘️✌️🧮	蚊草二数	0	2
稳操胜算	👂🌿✌️🧮	耳聪目明	0	2
稳操胜算	😘☘️✌️🧮	心花怒放	0	2
